tts_name,human_name
httpsdldropboxusercontentcomsclfimz53pb2rtmohdu7tf899rsiteref2jpgrlkeyoxyr942d0j2gcwpcmoy7f96czdl0.jpg,Reference Card Restrictions and Powers.jpg
httpsdldropboxusercontentcomsclfi0jke3jekk929zgzuvjs63siterefjpgrlkey7hnw2tmvvdhhnqbe1p7ottpfsdl0.jpg,Site 1 Reference.jpg
httpsdldropboxusercontentcomsclfiv2ycizd08oldlgf53r7xcStartjpgrlkeycabhay1md93rfmft6fdkcb2xkdl0.jpg,RotFC 1.jpg
httpsdldropboxusercontentcomsclfitnl5szpsp6tm9csplkxgsStart2jpgrlkeyuh0r6foxik7pkv6gntmn4uy0jdl0.jpg,RotFC 2.jpg
httpsdldropboxusercontentcomsclfiil5h79vhwjh3poxfvgitwSetupAid2jpgrlkeywxmn07f2ha234yrzxvb2a5vd7dl0.jpg,Setup Aid.jpg
httpsdldropboxusercontentcomsclfi74mm802yb8a4a6mdj9crifoundationtilesjpgrlkeymtft9u27v7w7pqmuzhebtvg9tdl0.jpg,Foundations 1.jpg
httpsdldropboxusercontentcomsclfigeuwd776ljtexp7evrl8efoundationtiles2jpgrlkey2ml8tmpotmt9drjttt9he6lwpdl0.jpg,Foundations 2.jpg
httpsdldropboxusercontentcomsclfi77cf4yyonvly5bbnjmbrgFoundationBoardjpgrlkeyqsindwccm1mgmhip3wwnyvxbfdl0.jpg,Foundation Board.jpg
httpsdldropboxusercontentcomsclfihzo6hbfj70yoxr0t2qyljConspiracyjpgrlkeyjbp330sm4b7405mqdasrr3601dl0.jpg,Visions.jpg
httpsdldropboxusercontentcomsclfif649zi5b2vp4fq9msf61nlegaciesjpgrlkey25ifgtyv4pkl6d62qa0pqyssgdl0.jpg,Legacies.jpg
httpsdldropboxusercontentcomsclfib7fpt0m80x0l80bhvh8gtsuitededifices3jpgrlkey7gcgb6p03oslspc6ga67mg2x4dl0.jpg,Edifices Arcane.jpg
httpsdldropboxusercontentcomsclfiny6axdoege3wq7imbxdzesuitededifices4jpgrlkeypwh00x8n0jrylwrn4ceniyn3ldl0.jpg,Edifices Arcane Ruined.jpg
httpsdldropboxusercontentcomsclfix5g142fmkp7t6jkkcoc88suitededifices5jpgrlkey3xedy8eptc80xztl7jldvatm7dl0.jpg,Edifices Beast.jpg
httpsdldropboxusercontentcomsclfi4absn0ukcxlssoo92cx76suitededifices6jpgrlkeyntru1en0urabxf1ondjwpidwedl0.jpg,Edifices Beast Ruined.jpg
httpsdldropboxusercontentcomsclfipkpjyunje86az37wvd2zzsuitededifices11jpgrlkeynqw3uhnkdyrxkjdjocx4cb0vvdl0.jpg,Edifices Order.jpg
httpsdldropboxusercontentcomsclfi1iwbvrxf3iwh10eqsw51usuitededifices12jpgrlkey39wenr667pdxhmqpa7b18kbqgdl0.jpg,Edifices Order Ruined.jpg
httpsdldropboxusercontentcomsclfie1jlb8qyzn77tui8y3bzmsuitededifices9jpgrlkeyymq6pz5o3qd5vifh4q5udqg3ddl0.jpg,Edifices Nomad.jpg
httpsdldropboxusercontentcomsclfidxxum9v0nucgig07s7r0isuitededifices10jpgrlkey1lyuzc4t15btn57iu19vm3dsodl0.jpg,Edifices Nomad Ruined.jpg
httpsdldropboxusercontentcomsclfi45nzdhp99x4to4a4dsiibsuitededifices7jpgrlkeydevr8ah8vus0fknrc2tdgunekdl0.jpg,Edifices Hearth.jpg
httpsdldropboxusercontentcomsclfibqi39gfssfzsb2074w6vssuitededifices8jpgrlkeyzysqbq3jya0xdtoi6n08vm310dl0.jpg,Edifices Hearth Ruined.jpg
httpsdldropboxusercontentcomsclfiuvbw25lr05jv4amzi4ufysuitededificesjpgrlkeycfgnkokhlqbv94oidlneb7f4udl0.jpg,Edifices Discord.jpg
httpsdldropboxusercontentcomsclfi6cbnygrabrltbmwbhy17usuitededifices2jpgrlkeykd99asve3cu132yvwgc6ajyt8dl0.jpg,Edifices Discord Ruined.jpg



